149	small-parts-flex -> apple-watch	NFC Wireless Antenna Pad For Apple Watch Seriesi 2 - 38MM
150	small-parts-flex -> apple-watch	Microphone Flex For Apple Watch Series 2 - 38MM
151	screens-lcds -> apple-watch	LCD Flex For Apple Watch Series 2 - 38MM
152	batteries -> apple-watch	Battery For Apple Watch Series 2 - 38MM
153	screens-lcds -> apple-watch	OLED Assembly For Apple Watch Series 2 - 38MM
154	small-parts-flex -> apple-watch	NFC Wireless Antenna Pad For Apple Watch Seriesi 2 - 42MM
155	small-parts-flex -> apple-watch	Microphone Flex For Apple Watch Series 2 - 42MM
156	screens-lcds -> apple-watch	LCD Flex For Apple Watch Series 2 - 42MM
157	batteries -> apple-watch	Battery For Apple Watch Series 2 - 42MM
158	screens-lcds -> apple-watch	OLED Assembly For Apple Watch Series 2 - 42MM
159	small-parts-flex -> apple-watch	Force Touch Sensor With Adhesive For Apple Watch Series 2 - 42MM
160	small-parts-flex -> apple-watch	Force Touch Sensor With Adhesive For Apple Watch Series 2 - 38MM
161	screens-lcds -> apple-watch	LCD Adhesive Tape For Apple Watch Series 1 / Series 2 / Series 3 -38MM
162	screens-lcds -> apple-watch	LCD Adhesive Tape For Apple Watch Series 1 / Series 2 / Series 3 - 42MM
163	screens-lcds -> apple-watch	OLED Assembly For Apple Watch Series 3 - 38MM Gps-Version
164	screens-lcds -> apple-watch	OLED Assembly For Apple Watch Series 3 - 38MM Gps+Cellular-Version
165	batteries -> apple-watch	Battery For Apple Watch Series 3 - 38MM Gps+Cellular-Version
166	batteries -> apple-watch	Battery For Apple Watch Series 3 - 38MM Gps-Version
167	screens-lcds -> apple-watch	LCD Flex Cable With Microphone For Apple Watch Series 3 - 38MM Gps+Cellular-Version
168	screens-lcds -> apple-watch	LCD Flex Cable With Microphone For Apple Watch Series 3 - 38MM Gps-Version
169	small-parts-flex -> apple-watch	Microphone Flex For Apple Watch Series 3 - 38MM Gps+Cellular-Version
170	small-parts-flex -> apple-watch	Force Touch Sensor With Adhesive For Apple Watch Series 3 38MM - Gps+Cellular-Version
171	small-parts-flex -> apple-watch	Force Touch Sensor With Adhesive For Apple Watch Series 3 38MM - Gps-Version
172	small-parts-flex -> apple-watch	NFC Wireless Antenna Pad For Apple Watch Series 3 - 38MM Gps-Version
173	small-parts-flex -> apple-watch	NFC Wireless Antenna Pad For Apple Watch Series 3 - 38MM Gps+Cellular-Version
174	screens-lcds -> apple-watch	OLED Assembly For Apple Watch Series 3 - 42MM Gps-Version
175	screens-lcds -> apple-watch	OLED Assembly For Apple Watch Series 3 - 42MM Gps+Cellular-Version
176	batteries -> apple-watch	Battery For Apple Watch Series 3 - 42MM Gps+Cellular-Version
177	screens-lcds -> apple-watch	LCD Flex Cable With Microphone For Apple Watch Series 3 - 42MM Gps+Cellular-Version
178	small-parts-flex -> apple-watch	Microphone Flex For Apple Watch Series 3 - 42MM Gps+Cellular-Version
179	small-parts-flex -> apple-watch	Force Touch Sensor With Adhesive For Apple Watch Series 3 42MM - Gps+Cellular-Version
180	small-parts-flex -> apple-watch	Force Touch Sensor With Adhesive For Apple Watch Series 3 42MM - Gps-Version
181	small-parts-flex -> apple-watch	NFC Wireless Antenna Pad For Apple Watch Series 3 - 42MM Gps-Version
182	small-parts-flex -> apple-watch	NFC Wireless Antenna Pad For Apple Watch Series 3 - 42MM Gps+Cellular-Version
183	screens-lcds -> apple-watch	OLED Assembly For Apple Watch Series 4 - 40MM
184	batteries -> apple-watch	Battery For Apple Watch Series 4 - 40MM
185	small-parts-flex -> apple-watch	Force Touch Sensor With Adhesive For Apple Watch Series 4 - 40MM
186	small-parts-flex -> apple-watch	Loud Speaker For Apple Watch Series 4 - 40MM - 44MM
187	screens-lcds -> apple-watch	LCD Flex Cable With Microphone For Apple Watch Series 4 - 40MM Gps+Cellular-Version
188	screens-lcds -> apple-watch	LCD Adhesive For Apple Watch Series 4 / Series 5 / Se - 40MM
189	small-parts-flex -> apple-watch	NFC Wireless Antenna Pad For Apple Watch Series 4 - 40MM
190	screens-lcds -> apple-watch	OLED Assembly For Apple Watch Series 4 - 44MM
191	batteries -> apple-watch	Battery For Apple Watch Series 4 - 44MM
192	small-parts-flex -> apple-watch	Force Touch Sensor With Adhesive For Apple Watch Series 4 - 44MM
193	screens-lcds -> apple-watch	LCD Flex Cable With Microphone For Apple Watch Series 4 - 44MM Gps+Cellular-Version
194	small-parts-flex -> apple-watch	NFC Wireless Antenna Pad For Apple Watch Series 4 - 44MM
195	screens-lcds -> apple-watch	OLED Assembly For Apple Watch Series 5 / SE - 40MM
